City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kez,57.8979,53.7152,-26.95,100,23,3.04,RU,1704511782
1,kailua-kona,19.6406,-155.9956,79.5,71,0,5.75,US,1704511532
2,tiksi,71.6872,128.8694,-28.7,99,59,7.29,RU,1704511783
3,san patricio,28.017,-97.5169,61.84,44,0,6.87,US,1704511784
4,ambon,-3.6954,128.1814,82.54,89,40,5.75,ID,1704511784
5,qaisumah,28.3112,46.1273,51.76,76,0,4.61,SA,1704511593
6,toliara,-23.35,43.6667,79.65,76,6,2.57,MG,1704511786
7,beau vallon,-20.4189,57.6953,86.22,94,75,0.0,MU,1704511786
8,port-aux-francais,-49.35,70.2167,43.63,89,100,39.91,TF,1704511787
9,nadym,65.5333,72.5167,-15.48,89,98,10.38,RU,1704511787
10,georgetown,5.4112,100.3354,87.75,62,20,9.22,MY,1704511788
11,bethel,41.3712,-73.414,29.93,76,0,4.61,US,1704511789
12,ribeira grande,38.5167,-28.7,61.77,81,44,10.0,PT,1704511789
13,awjilah,29.1081,21.2869,55.53,44,40,10.76,LY,1704511790
14,waitangi,-43.9535,-176.5597,60.82,97,100,3.0,NZ,1704511570
15,huejutla de reyes,21.1333,-98.4167,65.62,95,51,2.75,MX,1704511791
16,key west,24.5557,-81.7826,75.2,78,0,16.11,US,1704511792
17,portland,45.5234,-122.6762,48.24,81,100,14.0,US,1704511792
18,adamstown,-25.066,-130.1015,73.27,72,37,17.02,PN,1704511793
19,pestovo,58.5938,35.8024,-10.84,96,100,3.62,RU,1704511794
20,bikenibeu village,1.3673,173.1241,87.76,70,20,3.44,KI,1704511794
21,palangkaraya,-2.2,113.8333,85.08,70,100,2.37,ID,1704511688
22,agbabu,6.5886,4.8343,75.34,95,33,1.01,NG,1704511796
23,hermanus,-34.4187,19.2345,65.68,77,56,8.14,ZA,1704511797
24,deqing,30.5448,119.9599,55.69,53,27,1.95,CN,1704511798
25,qarazhal,48.0078,70.7903,25.77,97,100,4.97,KZ,1704511798
26,san antonio de pale,-1.4014,5.6325,81.68,72,19,10.25,GQ,1704511800
27,hawaiian paradise park,19.5933,-154.9731,77.04,83,0,4.61,US,1704511800
28,west island,-12.1568,96.8225,84.18,79,75,13.8,CC,1704511801
29,wailua homesteads,22.0669,-159.378,79.23,83,0,5.75,US,1704511803
30,doma,8.3833,8.35,74.35,20,55,2.75,NG,1704511803
31,vorgashor,67.5833,63.95,-0.04,97,100,14.12,RU,1704511804
32,nuuk,64.1835,-51.7216,13.93,78,100,8.23,GL,1704511731
33,dudinka,69.4058,86.1778,-21.32,99,61,5.99,RU,1704511806
34,inari,68.906,27.0288,-9.2,96,100,1.72,FI,1704511807
35,kaa-khem,51.6833,94.7333,-9.6,92,100,1.74,RU,1704511808
36,udachny,66.4167,112.4,-26.55,74,86,6.62,RU,1704511808
37,mocimboa,-11.3167,40.35,76.24,92,76,5.12,MZ,1704511810
38,edinburgh of the seven seas,-37.0676,-12.3116,58.01,65,28,12.97,SH,1704511810
39,el calafate,-50.3408,-72.2768,47.8,60,95,9.71,AR,1704511811
40,santo antonio,-6.3106,-35.4789,75.96,86,21,3.96,BR,1704511812
41,tafuna,-14.3358,-170.72,87.75,84,75,11.5,AS,1704511812
42,kolonia,50.9333,6.95,45.05,88,75,4.61,DE,1704511523
43,east london,-33.0153,27.9116,68.94,94,0,3.44,ZA,1704511744
44,mount hagen,-5.8581,144.2274,70.56,68,75,11.5,PG,1704511814
45,ilulissat,69.2167,-51.1,19.42,42,75,27.63,GL,1704511723
46,longyearbyen,78.2186,15.6401,3.04,66,75,8.05,SJ,1704511816
47,nanding,36.7483,118.0558,36.84,31,0,11.05,CN,1704511816
48,malango,-2.9627,119.9001,82.6,66,97,2.46,ID,1704511817
49,fort morgan,40.2503,-103.8,32.65,80,97,9.22,US,1704511817
50,novodvinsk,64.4165,40.8122,-9.22,99,100,3.33,RU,1704511818
51,truro,50.2653,-5.0544,45.68,80,20,10.36,GB,1704511745
52,hassi messaoud,31.6804,6.0729,49.86,87,75,5.75,DZ,1704511819
53,libreville,0.3925,9.4537,73.42,94,40,2.3,GA,1704511820
54,bamboo flat,11.7,92.7167,84.29,74,20,8.05,IN,1704511820
55,asau,46.4333,26.4,33.28,47,100,4.38,RO,1704511821
56,yanchep,-31.55,115.6833,88.95,37,3,8.21,AU,1704511822
57,santa terezinha,-29.9002,-50.0904,70.05,90,9,13.44,BR,1704511822
58,boa vista,2.8197,-60.6733,84.18,58,0,5.75,BR,1704511823
59,poronaysk,49.2167,143.1167,13.77,87,99,6.44,RU,1704511823
60,kodiak,57.79,-152.4072,31.51,93,40,3.44,US,1704511824
61,neiafu,-18.65,-173.9833,84.88,70,20,5.75,TO,1704511825
62,floro,61.5996,5.0328,22.96,68,15,6.91,NO,1704511825
63,ain sefra,32.75,-0.5833,38.73,77,29,20.47,DZ,1704511826
64,conde,-7.2597,-34.9075,78.26,89,75,2.3,BR,1704511827
65,grytviken,-54.2811,-36.5092,40.5,81,98,0.72,GS,1704511827
66,tosontsengel,48.7567,98.2839,-6.05,74,9,1.81,MN,1704511828
67,albany,42.6001,-73.9662,30.02,75,71,7.34,US,1704511829
68,kruisfontein,-34.0033,24.7314,63.88,83,33,16.06,ZA,1704511829
69,lebu,-37.6167,-73.65,56.61,95,6,2.77,CL,1704511830
70,huanuco,-9.9329,-76.2415,66.43,84,100,2.24,PE,1704511830
71,nantucket,41.2835,-70.0995,30.34,64,0,8.05,US,1704511831
72,klyuchi,52.2667,79.1667,21.94,87,100,12.06,RU,1704511832
73,talnakh,69.4865,88.3972,-17.9,94,67,8.77,RU,1704511770
74,keflavik,64.0049,-22.5624,34.23,80,75,13.8,IS,1704511833
75,chesapeake beach,38.6862,-76.5347,34.25,79,98,7.7,US,1704511833
76,hamilton,39.1834,-84.5333,36.99,69,0,8.05,US,1704511834
77,port lincoln,-34.7333,135.8667,72.28,69,100,10.8,AU,1704511835
78,iqaluit,63.7506,-68.5145,-4.27,71,75,4.61,CA,1704511584
79,port saint john's,-31.6229,29.5448,71.33,82,7,10.71,ZA,1704511836
80,punta arenas,-53.15,-70.9167,46.51,81,40,13.8,CL,1704511836
81,cape canaveral,28.4058,-80.6048,70.99,79,20,14.97,US,1704511837
82,as sulayyil,20.4607,45.5779,57.45,57,21,6.11,SA,1704511838
83,el haouaria,37.05,11.0144,53.62,85,100,13.29,TN,1704511838
84,dalian,38.9122,121.6022,30.13,59,0,11.18,CN,1704511839
85,massawa,15.6097,39.45,77.29,75,27,3.22,ER,1704511839
86,margaret river,-33.95,115.0667,72.52,58,0,11.1,AU,1704511840
87,tsafe,11.9553,6.9223,62.8,20,35,7.72,NG,1704511841
88,langsa,4.4683,97.9683,85.26,68,84,4.61,ID,1704511842
89,pisco,-13.7,-76.2167,71.65,83,0,12.66,PE,1704511843
90,kavaratti,10.5669,72.642,81.63,76,95,7.27,IN,1704511571
91,torit,4.4133,32.5678,73.18,35,1,0.45,SS,1704511844
92,leh,34.1667,77.5833,19.76,54,56,1.1,IN,1704511845
93,jumla,29.2747,82.1838,44.98,23,0,1.57,NP,1704511845
94,jamestown,42.097,-79.2353,29.79,98,0,0.0,US,1704511846
95,yuzhno-kurilsk,44.0306,145.8556,35.38,95,65,13.76,RU,1704511846
96,vorkuta,67.5,64.0,-0.2,97,100,15.35,RU,1704511787
97,prado,-17.3411,-39.2208,75.16,97,100,9.15,BR,1704511848
